"activities-heart__value__restingHeartRate","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__heartRateZones__min","activities-heart__dateTime","activities-heart-intraday__datasetType","activities-heart-intraday__datasetInterval","activities-heart-intraday__dataset__value","activities-heart-intraday__dataset__time"
"","","","","","","","","","80","00:51:35"
"","","","","","","","","","78","00:51:45"
"","","","","","","","","","79","00:51:55"
"","","","","","","","","","81","00:52:00"
"","","","","","","","","","79","00:52:05"
"","","","","","","","","","78","00:52:10"
"","","","","","","","","","77","00:52:20"
"","","","","","","","","","74","00:52:30"
"","","","","","","","","","72","00:52:40"
"","","","","","","","","","72","00:52:55"
"","","","","","","","","","70","00:53:00"
"","","","","","","","","","69","00:53:05"
"","","","","","","","","","69","00:53:10"
"","","","","","","","","","69","00:53:25"
"","","","","","","","","","72","00:53:40"
"","","","","","","","","","71","00:53:50"
"","","","","","","","","","70","00:54:00"
"","","","","","","","","","70","00:54:10"
"","","","","","","","","","69","00:54:20"
"","","","","","","","","","69","00:54:30"
"","","","","","","","","","70","00:54:40"
"","","","","","","","","","70","00:54:55"
"","","","","","","","","","71","00:55:00"
"","","","","","","","","","72","00:55:10"
"","","","","","","","","","73","00:55:20"
"","","","","","","","","","72","00:55:30"
"","","","","","","","","","72","00:55:45"
"","","","","","","","","","72","00:56:00"
"","","","","","","","","","75","00:56:10"
"","","","","","","","","","74","00:56:20"
"","","","","","","","","","71","00:56:30"
"","","","","","","","","","71","00:56:45"
"","","","","","","","","","69","00:56:50"
"","","","","","","","","","67","00:57:00"
"","","","","","","","","","65","00:57:10"
"","","","","","","","","","66","00:57:25"
"","","","","","","","","","67","00:57:30"
"","","","","","","","","","68","00:57:35"
"","","","","","","","","","68","00:57:50"
"","","","","","","","","","68","00:57:55"
"","","","","","","","","","68","00:58:10"
"","","","","","","","","","69","00:58:15"
"","","","","","","","","","71","00:58:20"
"","","","","","","","","","73","00:58:25"
"","","","","","","","","","74","00:58:30"
"","","","","","","","","","75","00:58:35"
"","","","","","","","","","78","00:58:50"
"","","","","","","","","","80","00:58:55"
"","","","","","","","","","81","00:59:00"
"","","","","","","","","","84","00:59:05"
"","","","","","","","","","87","00:59:10"
"","","","","","","","","","86","00:59:15"
"","","","","","","","","","87","00:59:20"
"","","","","","","","","","86","00:59:35"
"","","","","","","","","","85","00:59:40"
"","","","","","","","","","82","00:59:45"
"","","","","","","","","","83","00:59:50"
"","","","","","","","","","85","00:59:55"
"","","","","","","","","","86","01:00:00"
"","","","","","","","","","85","01:00:05"
"","","","","","","","","","84","01:00:10"
"","","","","","","","","","82","01:00:15"
"","","","","","","","","","78","01:00:20"
"","","","","","","","","","75","01:00:25"
"","","","","","","","","","75","01:00:30"
"","","","","","","","","","75","01:00:45"
"","","","","","","","","","74","01:00:50"
"","","","","","","","","","73","01:00:55"
"","","","","","","","","","71","01:01:00"
"","","","","","","","","","72","01:01:05"
"","","","","","","","","","73","01:01:10"
"","","","","","","","","","73","01:01:25"
"","","","","","","","","","73","01:01:40"
"","","","","","","","","","74","01:01:50"
"","","","","","","","","","75","01:02:05"
"","","","","","","","","","77","01:02:10"
"","","","","","","","","","77","01:02:15"
"","","","","","","","","","80","01:02:20"
"","","","","","","","","","81","01:02:25"
"","","","","","","","","","83","01:02:30"
"","","","","","","","","","84","01:02:35"
"","","","","","","","","","86","01:02:50"
"","","","","","","","","","87","01:03:00"
"","","","","","","","","","88","01:03:05"
"","","","","","","","","","79","01:03:15"
"","","","","","","","","","78","01:03:30"
"","","","","","","","","","82","01:03:40"
"","","","","","","","","","76","01:03:50"
"","","","","","","","","","74","01:03:55"
"","","","","","","","","","74","01:04:00"
"","","","","","","","","","76","01:04:05"
"","","","","","","","","","77","01:04:10"
"","","","","","","","","","76","01:04:20"
"","","","","","","","","","76","01:04:30"
"","","","","","","","","","79","01:04:40"
"","","","","","","","","","73","01:04:50"
"","","","","","","","","","73","01:05:05"
"","","","","","","","","","72","01:05:10"
"","","","","","","","","","74","01:05:20"
"","","","","","","","","","71","01:05:30"
"","","","","","","","","","71","01:05:45"
"","","","","","","","","","72","01:05:50"
"","","","","","","","","","71","01:06:00"
"","","","","","","","","","71","01:06:15"
"","","","","","","","","","71","01:06:30"
"","","","","","","","","","71","01:06:45"
"","","","","","","","","","70","01:06:55"
"","","","","","","","","","70","01:07:00"
"","","","","","","","","","72","01:07:10"
"","","","","","","","","","70","01:07:20"
"","","","","","","","","","69","01:07:30"
"","","","","","","","","","70","01:07:40"
"","","","","","","","","","68","01:07:50"
"","","","","","","","","","70","01:08:00"
"","","","","","","","","","71","01:08:10"
"","","","","","","","","","71","01:08:25"
"","","","","","","","","","77","01:08:40"
"","","","","","","","","","72","01:08:50"
"","","","","","","","","","72","01:09:05"
"","","","","","","","","","72","01:09:10"
"","","","","","","","","","72","01:09:25"
"","","","","","","","","","71","01:09:40"
"","","","","","","","","","76","01:09:50"
"","","","","","","","","","79","01:10:00"
"","","","","","","","","","67","01:10:10"
"","","","","","","","","","67","01:10:25"
"","","","","","","","","","67","01:10:30"
"","","","","","","","","","69","01:10:40"
"","","","","","","","","","69","01:10:45"
"","","","","","","","","","80","01:11:00"
"","","","","","","","","","78","01:11:10"
"","","","","","","","","","78","01:11:25"
"","","","","","","","","","78","01:11:40"
"","","","","","","","","","78","01:11:55"
"","","","","","","","","","77","01:12:00"
"","","","","","","","","","77","01:12:15"
"","","","","","","","","","73","01:12:20"
"","","","","","","","","","69","01:12:30"
"","","","","","","","","","69","01:12:45"
"","","","","","","","","","67","01:12:50"
"","","","","","","","","","66","01:13:00"
"","","","","","","","","","67","01:13:10"
"","","","","","","","","","69","01:13:20"
"","","","","","","","","","69","01:13:35"
"","","","","","","","","","70","01:13:40"
